Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,432826,0,0,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,339142,111592,9472,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,222000,0,4884,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,191142,174492,8880,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,444000,0,10434,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,400858,310504,19758,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,172642,112184,7030,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,224664,185296,11692,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,296444,112924,12432,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,950234,811632,25826,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,236800,51800,5180,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,185000,136160,8066,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,227402,599844,14800,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,137122,210160,8436,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,96126,80364,1258,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,366300,0,9250,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,266104,0,7400,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,259740,0,5624,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,361638,0,9842,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,192400,259000,8510,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,566840,0,7696,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,440670,416250,23310,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,192400,141414,8584,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,249010,141858,8288,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,275058,216450,11174,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,707440,0,14134,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,207126,166722,9028,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,312724,76960,8140,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,106708,0,2590,360,1,Urban,N
LP001087,Female,No,2,Graduate,,277500,154142,8880,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,308284,249306,14874,360,,Urban,N
LP001095,Male,No,0,Graduate,No,234358,0,5476,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,347208,0,7844,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,259000,123358,8436,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,925000,222000,23680,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,168350,152958,0,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,135272,98420,7400,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,271358,107966,10656,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,308284,533540,13616,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,277352,123432,8140,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,266400,0,5920,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,133200,89762,3478,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,177600,0,5550,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,291634,172864,9916,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,347430,0,7104,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,252340,0,6512,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,418026,0,3256,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,430754,0,10656,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,195730,254560,8880,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,296000,168350,10656,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,142672,121656,7400,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,228364,0,8880,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,313020,0,8288,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,341584,0,9916,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,851000,0,21164,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,200392,86358,7178,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,157768,117734,7104,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,249084,162800,9990,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,597920,166500,13320,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,248418,211566,10656,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,185000,280904,8880,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,224146,0,7326,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,193066,255226,12210,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,365930,0,0,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,308284,0,8584,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,423724,340030,19092,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,236800,166796,9324,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,795500,0,23088,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,525400,0,9250,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,318200,0,10064,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,237392,226884,12728,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,138750,138750,7178,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,259000,0,5994,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,351870,0,7030,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,389684,131276,13838,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,277500,0,8362,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,277500,351500,13024,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,74000,223628,8140,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,234358,296000,13320,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,246642,160284,9620,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,284604,0,8214,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,177230,0,0,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,101972,139194,12358,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,444000,166500,19610,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,295112,0,3700,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,175084,187294,10064,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,246642,148000,7326,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,185000,156732,7696,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,633884,0,15540,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,421430,308358,12950,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,218892,214600,9694,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,462500,418396,13912,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,242202,134680,5994,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,305842,0,9028,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,267880,0,1850,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,501868,0,0,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,183816,170348,10138,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,146298,73778,3700,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,309912,0,8510,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,130166,262034,9694,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,317312,241462,9842,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,358382,281644,11174,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,1010100,0,0,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,344248,265142,0,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,282384,55796,11840,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,225848,76220,7400,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,844858,83324,16650,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,542642,0,8880,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,281200,266400,15984,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,153254,55796,6956,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,393384,0,10064,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,216746,172642,10286,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,264328,304436,11248,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,551374,0,0,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,373700,0,8732,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,1079142,0,13690,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,234358,168942,11396,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,163836,103452,6290,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,412032,158508,12950,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,770192,0,19166,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,419358,197358,13320,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,308284,0,3256,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,158138,664520,10138,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,218818,0,5994,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,318200,149036,14356,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,273208,0,6882,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,1761422,0,27380,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,286010,121360,0,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,777962,284900,11840,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,449920,190106,13468,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,1492284,0,48100,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,149036,142746,5476,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,201132,0,5180,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,255966,0,1850,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,362230,0,7548,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,296000,573500,21460,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,339142,0,6216,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,245384,259000,6512,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,1109926,0,17908,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,310800,105820,9546,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,373108,154142,13690,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,400858,0,12432,360,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,514300,0,12950,180,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,199652,150516,9028,360,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,870018,0,13838,180,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,172420,331964,7400,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,1100084,0,5180,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,113812,105450,2220,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,740000,123284,16650,360,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,359640,61420,9250,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,464498,0,8732,360,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,190698,277500,11248,360,1,Rural,Y
LP001531,Male,No,0,Graduate,No,678284,0,18056,360,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,168794,0,8362,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,240796,0,3700,360,1,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,2959926,0,44400,180,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,444000,0,11840,360,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,705812,0,13838,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,220520,154142,8880,360,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,339142,416250,18870,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,137862,77034,7252,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,587042,0,20350,360,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,228586,94720,8954,360,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,308358,107078,11692,360,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,689902,0,5550,180,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,274318,234284,13468,,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,339142,0,8288,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,180486,246642,9546,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,165538,0,4662,480,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,592000,0,14800,360,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,134680,130906,7030,360,1,Rural,Y
LP001585,,Yes,3+,Graduate,No,3830462,0,51800,300,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,260628,0,5994,180,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,422392,416250,13838,360,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,321456,54464,6438,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,258778,145336,8584,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,151330,119806,7474,360,1,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,408184,836200,36630,360,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,277500,0,8584,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,172642,107374,7548,480,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,473600,536500,13320,360,0,Urban,N
LP001634,Male,No,0,Graduate,No,141784,374662,4958,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,340400,0,5402,180,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,2504604,0,19240,360,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,268250,0,7992,360,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,2896878,351500,8880,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,161172,0,4884,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,176342,158212,4292,360,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,49876,391904,12432,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,690272,0,13912,180,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,361490,0,3552,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,888000,0,12136,360,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,446442,0,11840,360,1,Urban,N
LP001658,Male,No,0,Graduate,No,285492,0,5624,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,310134,0,8880,360,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,231250,191142,12580,360,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,616642,277500,13838,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,141118,175010,8880,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,252784,208384,8362,360,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,814000,0,6142,360,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,192400,185000,6660,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,364302,0,12284,360,0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,295408,0,0,180,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,259000,80142,9990,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,289858,0,9176,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,326192,0,8880,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,240056,0,5920,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,294150,187294,4070,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,183446,0,4366,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,252932,0,9398,360,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,740000,0,15836,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,253820,92500,9472,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,576238,0,17760,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,422022,0,9620,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,234802,223554,10138,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,284900,72742,7400,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,11100,133200,9990,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,275798,131350,9694,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,370000,0,5328,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,316942,176342,9398,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,164354,0,4440,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,296666,127058,8584,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,219854,206534,10656,360,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,560772,74740,12950,,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,462500,0,9472,360,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,240500,0,12580,360,1,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,350390,0,10212,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,462500,125430,15540,360,1,Semiurban,Y
LP001760,Male,,,Graduate,No,352092,0,11692,480,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,473600,0,14800,360,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,184334,151996,7696,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,274984,0,3108,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,235986,192252,8880,,1,Rural,Y
LP001776,Female,No,0,Graduate,No,616642,0,20720,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,233470,131646,10360,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,407000,93240,12580,360,1,Rural,Y
LP001786,Male,Yes,0,Graduate,,425204,0,18870,360,,Urban,N
LP001788,Female,No,0,Graduate,Yes,256262,0,9028,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,282088,0,8288,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,245310,0,7104,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,430606,370000,8880,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,185740,146742,10360,180,1,Urban,N
LP001806,Male,No,0,Graduate,No,219410,421874,11470,60,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,462500,96200,7992,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,252044,326858,9102,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,447700,320642,8880,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,718022,0,8288,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,488992,0,10138,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,213268,136382,9102,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,133866,138232,6660,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,123432,287860,14874,360,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,253598,0,10212,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,191142,160358,7696,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,196914,525474,20646,180,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,1202500,0,14208,360,0,Urban,N
LP001846,Female,No,3+,Graduate,No,228142,0,18870,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,447330,0,8510,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,388500,0,6956,360,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,1086542,155400,22496,360,1,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,364894,0,9472,360,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,450142,314500,24420,360,,Urban,Y
LP001868,Male,No,0,Graduate,No,152440,163466,9916,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,257594,0,11470,36,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,532800,0,8880,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,382284,0,9472,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,303030,255078,11174,360,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,348392,102638,11100,360,1,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,320642,134014,11840,360,0,Urban,Y
LP001883,Female,No,0,Graduate,,252932,0,9990,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,212824,115440,6660,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,239538,0,2220,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,824804,0,10064,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,209642,137418,9324,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,193880,164502,11100,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,288600,0,6660,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,203500,136308,8510,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,295482,242276,15318,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,229622,96200,5920,360,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,1079142,0,32264,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,303400,0,9176,360,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,299922,179524,11692,360,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,290598,59200,8288,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,170274,72949.1991,5772,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,134014,123284,3996,360,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,1529358,0,0,360,1,Rural,N
LP001924,Male,No,0,Graduate,No,233692,225922,6586,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,192400,127058,7326,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,274096,148000,8880,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,305176,0,8510,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,703592,0,13838,360,1,Rural,Y
LP001936,Male,Yes,0,Graduate,No,227550,178784,10286,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,325600,0,9398,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,233322,115440,9916,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,400858,0,10582,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,176342,246716,12728,360,1,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,326784,92500,8140,360,1,Urban,Y
LP001953,Male,Yes,1,Graduate,No,508750,0,14800,360,1,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,345284,0,9990,360,1,Urban,Y
LP001955,Female,No,0,Graduate,No,370000,188034,11174,480,1,Rural,N
LP001963,Male,Yes,1,Graduate,No,149036,216450,8362,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,133200,217116,6882,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,212750,129500,7770,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,370000,0,9768,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,120250,133422,7104,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,296000,185000,10360,360,1,Rural,Y
LP001990,Male,No,0,Not Graduate,No,148000,0,0,360,1,Urban,N
